sink_id,lat,lon,row,col,area_m2,max_depth_m,volume_m3,catchment_m2
207,25.624757889858795,85.08361772503105,205,236,24674400,1.56,20098470.0,40500.0
49,25.652246337552853,85.24477548700209,103,834,2847600,1.54,1938319.0,3600.0
510,25.56573857569214,85.24154155197925,424,822,4184100,1.61,1541436.0,13500.0
441,25.5932270233862,85.08792963839481,322,252,1324800,0.66,416675.0,20700.0
374,25.613169622693654,85.09951790555996,248,295,1158300,0.42,385378.0,28800.0
226,25.643083521654834,85.28277422352033,137,975,460800,1.73,348156.0,45900.0
359,25.61667305230172,85.14614046880575,235,468,431100,1.55,312426.0,22500.0
213,25.64523947833672,85.27388090220755,129,942,327600,1.13,296217.0,7200.0
378,25.606701752647993,85.13024028827684,272,409,776700,0.58,270694.0,17100.0
286,25.63203424366016,85.28034877225322,178,966,631800,0.99,256499.0,1139400.0
114,25.659253196768983,85.2682215159176,77,921,291600,1.74,224586.0,146700.0
149,25.6503598754562,85.28115725600892,110,969,176400,2.13,203553.0,8100.0
275,25.63365121117158,85.17174245440317,172,563,360900,1.02,194617.0,15300.0
459,25.596191463823793,85.22456339310939,311,759,172800,3.6,171144.0,83700.0
32,25.672727926030777,85.18144425947166,27,599,114300,1.97,163476.0,833400.0
434,25.59888640967615,85.15287783343666,301,493,594000,0.36,154115.0,2700.0
39,25.667068539740825,85.07553288747397,48,206,357300,0.71,127332.0,900.0
232,25.642814027069598,85.1690475085508,138,553,72000,2.45,118431.0,1431000.0
279,25.635537673268228,85.12808433159496,165,401,81000,1.45,115236.0,1800.0
147,25.650090380870964,85.2224074364275,111,751,86400,3.56,108630.0,25200.0
256,25.636346157023937,85.21540057721137,162,725,215100,0.88,102510.0,63900.0
388,25.610474676841296,85.17174245440317,258,563,186300,1.22,96633.0,221400.0
513,25.575170886175396,85.0930500355143,389,271,351000,0.38,95976.0,35100.0
18,25.67650085022408,85.22456339310939,13,759,79200,2.26,85032.0,2700.0
296,25.632573232830634,85.02405942169392,176,15,54000,2.58,81279.0,900.0
